Date,Users,Pageviews
2017-01-01,209098,496943
2017-01-02,324469,851837
2017-01-03,389198,914950
2017-01-04,365383,865846
2017-01-05,360486,857553
2017-01-06,365578,846064
2017-01-07,320421,669778
2017-01-08,301345,608320
2017-01-09,370107,855349
2017-01-10,350713,834293
2017-01-11,339869,799849
2017-01-12,364906,811993
2017-01-13,346619,743648
2017-01-14,304720,607983
2017-01-15,297757,585112
2017-01-16,411462,885504
2017-01-17,388313,900972
2017-01-18,384738,893348
2017-01-19,369789,886347
2017-01-20,374956,899672
2017-01-21,316865,701095
2017-01-22,291320,626948
2017-01-23,432863,1120359
2017-01-24,375296,909789
2017-01-25,373858,863135
2017-01-26,352519,716058
2017-01-27,366250,837969
2017-01-28,326420,673684
2017-01-29,343603,688666
2017-01-30,401459,909233
2017-01-31,403338,933421
2017-02-01,693127,1495711
2017-02-02,573143,1106158
2017-02-03,391718,839347
2017-02-04,331403,680009
2017-02-05,341172,700544
2017-02-06,409390,957983
2017-02-07,442325,1033959
2017-02-08,485346,1253773
2017-02-09,434031,1128766
2017-02-10,418335,1054977
2017-02-11,356083,831289
2017-02-12,340426,781210
2017-02-13,412270,1041352
2017-02-14,465055,1435321
2017-02-15,439228,1184004
2017-02-16,402603,1040553
2017-02-17,364421,898747
2017-02-18,342952,884485
2017-02-19,308438,684210
2017-02-20,374512,946439
2017-02-21,364589,914724
2017-02-22,361373,879561
2017-02-23,361269,871879
2017-02-24,366690,839840
2017-02-25,310155,666059
2017-02-26,314463,647177
2017-02-27,380020,890179
2017-02-28,364393,872476
2017-03-01,345961,847001
2017-03-02,341881,821538
2017-03-03,329504,787202
2017-03-04,302909,640681
2017-03-05,321019,645879
2017-03-06,373091,843482
2017-03-07,376962,846651
2017-03-08,382137,845710
2017-03-09,380753,859781
2017-03-10,367104,845435
2017-03-11,462828,1047685
2017-03-12,322989,708264
2017-03-13,351071,803342
2017-03-14,386528,904064
2017-03-15,375843,864573
2017-03-16,359506,824110
2017-03-17,347240,776743
2017-03-18,339314,721348
2017-03-19,350916,700932
2017-03-20,396721,886903
2017-03-21,374314,875543
2017-03-22,373771,871313
2017-03-23,373980,847061
2017-03-24,360097,800694
2017-03-25,312908,639622
2017-03-26,280230,565537
2017-03-27,329332,765743
2017-03-28,337722,795643
2017-03-29,329915,735584
2017-03-30,366634,801011
2017-03-31,364706,768956
2017-04-01,312008,638146
2017-04-02,306815,626969
2017-04-03,373268,845528
2017-04-04,367316,812258
2017-04-05,358112,783484
2017-04-06,352354,776911
2017-04-07,364112,806424
2017-04-08,300882,608719
2017-04-09,292064,586767
2017-04-10,353355,812533
2017-04-11,377152,811051
2017-04-12,325868,744776
2017-04-13,334971,746706
2017-04-14,316867,650430
2017-04-15,302618,597817
2017-04-16,298118,582638
2017-04-17,390897,812213
2017-04-18,365021,831175
2017-04-19,354695,828881
2017-04-20,340476,777632
2017-04-21,338553,751024
2017-04-22,295772,598134
2017-04-23,292277,571441
2017-04-24,378237,798063
2017-04-25,348021,768049
2017-04-26,337535,796905
2017-04-27,313924,743395
2017-04-28,325555,702494
2017-04-29,278619,552514
2017-04-30,273415,531867
2017-05-01,309412,638236
2017-05-02,332179,749224
2017-05-03,316210,720827
2017-05-04,338930,760262
2017-05-05,327614,715615
2017-05-06,279144,574995
2017-05-07,271883,541707
2017-05-08,329255,752556
2017-05-09,371100,806591
2017-05-10,351052,763756
2017-05-11,368404,779490
2017-05-12,363815,778575
2017-05-13,312048,606838
2017-05-14,312677,596381
2017-05-15,383924,819121
2017-05-16,354920,769028
2017-05-17,335153,724023
2017-05-18,356048,788216
2017-05-19,356859,755916
2017-05-20,342332,666825
2017-05-21,294428,574584
2017-05-22,364803,782604
2017-05-23,350076,772658
2017-05-24,354137,759860
2017-05-25,335423,736224
2017-05-26,338059,719288
2017-05-27,309092,609512
2017-05-28,308323,580544
2017-05-29,369609,789425
2017-05-30,383744,798049
2017-05-31,417835,833094
2017-06-01,424884,908852
2017-06-02,375623,786515
2017-06-03,333340,649806
2017-06-04,294496,561393
2017-06-05,376022,825909
2017-06-06,370139,802518
2017-06-07,347785,781166
2017-06-08,345346,742414
2017-06-09,361733,767101
2017-06-10,306905,601331
2017-06-11,329903,622845
2017-06-12,403530,839021
2017-06-13,350735,754728
2017-06-14,343319,734221
2017-06-15,406453,840967
2017-06-16,346527,730004
2017-06-17,322267,620280
2017-06-18,306432,569942
2017-06-19,411028,870898
2017-06-20,373612,800629
2017-06-21,358316,777102
2017-06-22,349642,770564
2017-06-23,383223,796279
2017-06-24,339790,643466
2017-06-25,326766,600645
2017-06-26,353762,708753
2017-06-27,398656,879669
2017-06-28,400770,1052088
2017-06-29,405391,999698
2017-06-30,412357,863990
2017-07-01,403908,763890
2017-07-02,363682,675933
2017-07-03,420983,875496
2017-07-04,394373,837228
2017-07-05,389115,848912
2017-07-06,401033,858328
2017-07-07,417346,841644
2017-07-08,349482,680796
2017-07-09,317909,602777
2017-07-10,426863,893072
2017-07-11,395647,921248
2017-07-12,382708,930381
2017-07-13,389268,1001896
2017-07-14,386521,919885
2017-07-15,371120,685640
2017-07-16,347599,643135
2017-07-17,424605,882710
2017-07-18,394093,865085
2017-07-19,400999,860067
2017-07-20,427522,892694
2017-07-21,408843,839971
2017-07-22,381732,708404
2017-07-23,347025,643191
2017-07-24,415900,863724
2017-07-25,418568,863441
2017-07-26,413647,846837
2017-07-27,439618,919488
2017-07-28,396966,830148
2017-07-29,333238,648721
2017-07-30,340191,632682
2017-07-31,394251,832574
2017-08-01,366034,802337
2017-08-02,359360,781146
2017-08-03,356158,767336
2017-08-04,368242,764678
2017-08-05,324615,623249
2017-08-06,293724,558910
2017-08-07,371437,761889
2017-08-08,373127,813935
2017-08-09,372174,802421
2017-08-10,358086,768541
2017-08-11,362929,755930
2017-08-12,346878,649591
2017-08-13,336119,619483
2017-08-14,377454,782084
2017-08-15,344958,667974
2017-08-16,394555,841431
2017-08-17,380351,804737
2017-08-18,370084,803512
2017-08-19,341632,673758
2017-08-20,329279,634277
2017-08-21,402359,854268
2017-08-22,392773,873176
2017-08-23,415522,866636
2017-08-24,436796,873191
2017-08-25,378781,771439
2017-08-26,366131,707793
2017-08-27,361255,663847
2017-08-28,434395,936902
2017-08-29,431464,918422
2017-08-30,411500,859707
2017-08-31,402176,816384
2017-09-01,408546,810056
2017-09-02,375841,689996
2017-09-03,399772,687371
2017-09-04,411786,819805
2017-09-05,405399,823942
2017-09-06,427893,881308
2017-09-07,470703,931432
2017-09-08,384209,789272
2017-09-09,360507,669903
2017-09-10,370988,669918
2017-09-11,385740,807847
2017-09-12,379566,813204
2017-09-13,367263,773385
2017-09-14,447780,869712
2017-09-15,355422,758070
2017-09-16,312149,608174
2017-09-17,318305,593047
2017-09-18,389364,829559
2017-09-19,399572,825404
2017-09-20,410571,827956
2017-09-21,396589,784164
2017-09-22,401834,791412
2017-09-23,409150,717802
2017-09-24,389831,672133
2017-09-25,438666,869027
2017-09-26,450443,891596
2017-09-27,496712,919600
2017-09-28,433311,812193
2017-09-29,401396,726502
2017-09-30,432025,720239
2017-10-01,496379,813277
2017-10-02,450279,810150
2017-10-03,496227,966027
2017-10-04,467364,902345
2017-10-05,500830,929967
2017-10-06,492406,919709
2017-10-07,449596,802078
2017-10-08,448948,784421
2017-10-09,514693,987758
2017-10-10,622346,1093873
2017-10-11,572843,1015328
2017-10-12,530673,989252
2017-10-13,465638,859787
2017-10-14,392906,694677
2017-10-15,418114,724124
2017-10-16,483135,896135
2017-10-17,441524,799072
2017-10-18,389391,715245
2017-10-19,536420,841411
2017-10-20,479478,819949
2017-10-21,429262,728228
2017-10-22,416602,690716
2017-10-23,497504,903553
2017-10-24,502607,936223
2017-10-25,531016,959235
2017-10-26,527090,963655
2017-10-27,444456,834274
2017-10-28,411209,720863
2017-10-29,429856,731513
2017-10-30,539162,995033
2017-10-31,555274,1019741
2017-11-01,505992,906801
2017-11-02,476604,904372
2017-11-03,480468,915855
2017-11-04,408350,724894
2017-11-05,448279,762784
2017-11-06,484132,918812
2017-11-07,495793,933797
2017-11-08,515763,940035
2017-11-09,496433,936085
2017-11-10,429326,814003
2017-11-11,432915,732304
2017-11-12,400157,686807
2017-11-13,474623,900315
2017-11-14,439562,844192
2017-11-15,479408,895871
2017-11-16,474946,879204
2017-11-17,499861,908239
2017-11-18,469738,804246
2017-11-19,454814,768678
2017-11-20,511230,952638
2017-11-21,493143,919550
2017-11-22,611405,1049916
2017-11-23,445753,840679
2017-11-24,459421,829680
2017-11-25,460102,768154
2017-11-26,443944,726033
2017-11-27,543412,994205
2017-11-28,526192,973797
2017-11-29,507459,934088
2017-11-30,560815,1001564
2017-12-01,540124,947800
2017-12-02,439152,755152
2017-12-03,440312,736276
2017-12-04,544130,971451
2017-12-05,559957,1022630
2017-12-06,520869,962318
2017-12-07,536304,975093
2017-12-08,525530,927570
2017-12-09,562182,900834
2017-12-10,430957,726225
2017-12-11,533281,975068
2017-12-12,545305,1013350
2017-12-13,510673,945091
2017-12-14,509268,937610
2017-12-15,491694,894535
2017-12-16,429148,725166
2017-12-17,418408,675721
2017-12-18,791226,1460907
2017-12-19,470679,911216
2017-12-20,557266,988370
2017-12-21,489622,911714
2017-12-22,539282,917531
2017-12-23,428438,730894
2017-12-24,414505,703520
2017-12-25,380867,668918
2017-12-26,466701,849458
2017-12-27,445521,823215
2017-12-28,430057,801044
2017-12-29,478329,853976
2017-12-30,471178,765015
2017-12-31,349969,601402
2018-01-01,363381,670082
2018-01-02,550717,1009107
2018-01-03,586087,1060464
2018-01-04,586759,1027662
2018-01-05,507133,912128
2018-01-06,456131,788393
2018-01-07,452271,746785
2018-01-08,577165,1022586
2018-01-09,521414,954585
2018-01-10,479556,903554
2018-01-11,488862,910492
2018-01-12,466571,883884
2018-01-13,432785,742337
2018-01-14,396954,663877
2018-01-15,459905,845328
2018-01-16,543087,999816
2018-01-17,454405,877795
2018-01-18,505253,916382
2018-01-19,467442,865369
2018-01-20,432247,760712
2018-01-21,426099,730399
2018-01-22,521965,956805
2018-01-23,513050,957338
2018-01-24,549328,989485
2018-01-25,499158,900591
2018-01-26,462918,776859
2018-01-27,476345,821780
2018-01-28,485291,809899
2018-01-29,532719,982848
2018-01-30,554166,999043
2018-01-31,564224,1026304
2018-02-01,701026,1243147
2018-02-02,535881,961964
2018-02-03,516472,858914
2018-02-04,525892,837517
2018-02-05,522474,954663
2018-02-06,504216,942828
2018-02-07,518148,952629
2018-02-08,482740,900108
2018-02-09,487160,1142311
2018-02-10,463127,1210453
2018-02-11,432732,1124306
2018-02-12,489777,1509921
2018-02-13,449935,1423486
2018-02-14,455127,1418631
2018-02-15,566426,1626251
2018-02-16,580940,1668836
2018-02-17,488223,1275279
2018-02-18,455623,1154166
2018-02-19,497455,1333540
2018-02-20,485876,918831
2018-02-21,511497,932663
2018-02-22,445616,861419
2018-02-23,404570,765713
2018-02-24,353103,634796
2018-02-25,481526,804991
2018-02-26,535107,989384
2018-02-27,443416,866708
2018-02-28,483732,911168
2018-03-01,483061,861970
2018-03-02,423819,726995
2018-03-03,409995,731895
2018-03-04,391720,667902
2018-03-05,436522,815244
2018-03-06,450860,1000851
2018-03-07,478449,1458037
2018-03-08,424426,1352296
2018-03-09,443383,1357253
2018-03-10,394062,1102525
2018-03-11,420870,1086653
2018-03-12,514743,1570465
2018-03-13,532334,1240435
2018-03-14,503175,953526
2018-03-15,466983,869639
2018-03-16,458413,840305
2018-03-17,402137,691145
2018-03-18,387960,655575
2018-03-19,501266,926508
2018-03-20,485740,910891
2018-03-21,454580,844329
2018-03-22,447110,839866
2018-03-23,426225,788666
2018-03-24,399626,690986
2018-03-25,370084,617368
2018-03-26,474584,863028
2018-03-27,418049,787211
2018-03-28,429903,793304
2018-03-29,434620,788539
2018-03-30,416400,745084
2018-03-31,438149,708415
2018-04-01,476368,745814
2018-04-02,503718,916460
2018-04-03,470905,875754
2018-04-04,451061,842757
2018-04-05,516585,964648
2018-04-06,443801,837825
2018-04-07,441709,742971
2018-04-08,518144,839442
2018-04-09,566770,1005155
2018-04-10,509235,928805
2018-04-11,530599,930059
2018-04-12,501855,920982
2018-04-13,586739,1007755
2018-04-14,479552,785719
2018-04-15,469368,752145
2018-04-16,493617,929597
2018-04-17,454469,868281
2018-04-18,388903,763078
2018-04-19,371050,735945
2018-04-20,410892,758165
2018-04-21,378835,650586
2018-04-22,372118,620791
2018-04-23,405222,782877
2018-04-24,407134,770153
2018-04-25,405079,771253
2018-04-26,395035,742092
2018-04-27,426578,758778
2018-04-28,366003,632223
2018-04-29,376059,622406
2018-04-30,403613,740181
2018-05-01,360789,664814
2018-05-02,390837,745819
2018-05-03,436492,794580
2018-05-04,414786,753205
2018-05-05,341715,601464
2018-05-06,346063,580835
2018-05-07,428709,778012
2018-05-08,416416,764732
2018-05-09,376133,719283
2018-05-10,364054,702023
2018-05-11,483440,837325
2018-05-12,609378,938865
2018-05-13,423194,676243
2018-05-14,485964,867055
2018-05-15,1359408,2442877
2018-05-16,569795,1076086
2018-05-17,488848,978817
2018-05-18,420056,838501
2018-05-19,429522,798618
2018-05-20,352140,628247
2018-05-21,428093,832234
2018-05-22,400480,813632
2018-05-23,422482,832049
2018-05-24,430147,843853
2018-05-25,407494,805262
2018-05-26,391717,683045
2018-05-27,343159,594147
2018-05-28,434589,817888
2018-05-29,413283,804816
2018-05-30,406126,794767
2018-05-31,407428,784562
2018-06-01,364934,724495
2018-06-02,354493,638402
2018-06-03,321787,572851
2018-06-04,383326,767427
2018-06-05,411223,803141
2018-06-06,374508,761646
2018-06-07,423699,825359
2018-06-08,377710,756615
2018-06-09,320535,597815
2018-06-10,317461,585982
2018-06-11,375611,773840
2018-06-12,371791,763948
2018-06-13,372682,780497
2018-06-14,382172,755673
2018-06-15,349652,677160
2018-06-16,298343,557351
2018-06-17,284469,537043
2018-06-18,358471,745951
2018-06-19,365618,757583
2018-06-20,354666,742781
2018-06-21,343916,712929
2018-06-22,336365,690265
2018-06-23,302636,570756
2018-06-24,311282,565563
2018-06-25,366455,738896
2018-06-26,354597,743121
2018-06-27,347675,721766
2018-06-28,361611,733473
2018-06-29,404924,769403
2018-06-30,334213,608031
2018-07-01,318069,578200
2018-07-02,383901,771160
2018-07-03,381549,763298
2018-07-04,381414,759174
2018-07-05,364019,745314
2018-07-06,379704,754587
2018-07-07,329286,618311
2018-07-08,305079,566982
2018-07-09,383740,804566
2018-07-10,411859,827318
2018-07-11,392748,792503
2018-07-12,374904,769264
2018-07-13,367391,746441
2018-07-14,338755,612626
2018-07-15,375710,642892
2018-07-16,418243,842791
2018-07-17,424471,839760
2018-07-18,395072,823661
2018-07-19,395412,815373
2018-07-20,398033,832906
